ProfileName,TransactionDate,TransactionAmount,TransactionNarrative,TransactionDescription,TransactionID,TransactionType,WalletReference
Card Campaign,1/11/2014 22:27,-20000,*MOLEPS ATM25             MOLEPOLOLE    BW,DEDUCT,5.84012E+14,1,P_NzI2ODY2ODlfMTM4MjcwMTU2NS45MzA5
Card Campaign,1/11/2014 22:39,-10000,*MOGODITSHANE2            MOGODITHSANE  BW,DEDUCT,5.84012E+14,1,P_NzI1MjA1NjZfMTM3ODczODI3Mi4wNzY5
Card Campaign,1/11/2014 23:28,-5000,CAPITAL BANK              MOGODITSHANE  BW,DEDUCT,4.64012E+14,1,P_NzI0NjE1NzhfMTM4NzE4ODExOC43NTYy
Card Campaign,1/12/2014 2:18,-10000,PALAPYE BRANCH ATM        PALAPYE       BW,DEDUCT,4.64012E+14,1,P_NzI5OTQ5NDRfMTM4NDE2MjA2Ny45NjUy
Card Campaign,1/12/2014 3:10,-10000,ENGEN MOGODITSHANE AT     BOTSWANA      BW,DEDUCT,3.84012E+14,1,P_NzI4NDA3ODRfMTM4NTk5MDA2NS4xNDQ=
Card Campaign,1/12/2014 3:23,-25000,CAPITAL BANK              MOGODITSHANE  BW,DEDUCT,3.84012E+14,1,P_NzIyNTY4NzNfMTM4NjY3ODk2MC4wNzcx
Card Campaign,1/12/2014 4:43,-15000,*DARY SOUTHRING           GABORONE      BW,DEDUCT,3.84012E+14,1,P_NzIzNDk2ODZfMTM4NTY1OTU3My4yMDQ1
Card Campaign,1/12/2014 4:51,-28000,*MOGODIT ENGEN            GABORONE      BW,DEDUCT,3.04012E+14,1,P_NzQzMjY5OTBfMTM4MDYxMjkwNS40MTM=
Card Campaign,1/12/2014 5:18,-10000,PALAPYE BRANCH 2          PAL           BW,DEDUCT,3.04012E+14,1,P_NzI5OTQ5NDRfMTM4NDE2MjA2Ny45NjUy
Card Campaign,1/12/2014 5:33,-32400,ENGEN TSOLAMOSESI         GABORONE      BW,DEDUCT,3.84012E+14,1,P_NzUyMDI4NjRfMTM4NTM2NjE4OC44Njcy
Card Campaign,1/12/2014 5:34,-10000,ENGEN TSOLAMOSESI         GABORONE      BW,DEDUCT,5.84012E+14,1,P_NzUyMDI4NjRfMTM4NTM2NjE4OC44Njcy
Card Campaign,1/12/2014 6:26,-20000,Molepolole Filli100558    Gaborone      BW,DEDUCT,8.40122E+13,0,P_NzI5OTE3NjZfMTM4MTkzNjk5Mi45NTc2
Card Campaign,1/12/2014 6:31,-15000,*SHAKAWE                  SHAKAWE       BW,DEDUCT,4.64012E+14,1,P_NzUxMTk2ODNfMTM4MjA5MDM2OC40Mzky
Card Campaign,1/12/2014 6:50,-40000,*SESARONA                 LOBATSE       BW,DEDUCT,4.64012E+14,1,P_NzQ0NDQwNDBfMTM4MDgxMjU1NC4wNDY2
Card Campaign,1/12/2014 7:07,-35000,*TONOTA                   FRANCISTOWN   BW,DEDUCT,4.64012E+14,1,P_NzI2NjA4NjZfMTM3ODgwOTc5OC41NjIx
Card Campaign,1/12/2014 7:38,-5000,*SEROWE64                 SEROWE        BW,DEDUCT,5.84012E+14,1,P_NzI5NTA3MzFfMTM4NjMzMjM2Mi42NTI2
Card Campaign,1/12/2014 7:43,-12000,Choppies Store P102220    Lobatse       BW,DEDUCT,8.40123E+13,0,P_NzYzNzM1NDZfMTM3OTMzMDMxOS4xMDgz
Card Campaign,1/12/2014 7:50,-20000,*BDF THEBEPHATSWA         MOLEPOLOLE    BW,DEDUCT,3.04012E+14,1,P_NzUyODU4ODJfMTM4NjMyODY5Ni4wNzky
Card Campaign,1/12/2014 8:13,-50000,*NRTHGT MLL           GABORONE      BW,DEDUCT,5.84012E+14,1,P_NzY1NTAxNDZfMTM4ODM5MjU4My4xMTQ3
Card Campaign,1/12/2014 8:16,-10000,*MAHALAPYE                MAHALAPYE     BW,DEDUCT,3.04012E+14,1,P_NzI5NzYzMjlfMTM3ODMwMDI2Ny40MzUy
Card Campaign,1/12/2014 8:22,-6220,Choppies Superst102631    Lobatse       BW,DEDUCT,2.8435E+14,0,P_NzI5NzYzMjlfMTM3ODMwMDI2Ny40MzUy
Card Campaign,1/12/2014 8:24,-10250,Sunset Butchery 100343    Francistown   BW,DEDUCT,4.0123E+12,0,P_NzI4Njk3MTBfMTM4MTQ5MTEwNy4wNTMy
Card Campaign,1/12/2014 8:25,-5000,616432 WHITE CITY FILLING BOTSWANA      BW,DEDUCT,2.84012E+14,0,P_NzQzMDA2NjlfMTM4OTQzODQ2NS43OTUz
Card Campaign,1/12/2014 8:30,-7795,Choppies Hyper R100256    Lobatse       BW,DEDUCT,2.84012E+14,0,P_NzIzNDk2ODZfMTM4NTY1OTU3My4yMDQ1
